Name,NACA-0009 9.0% smoothed
Chord(mm),100
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
100,0
99.572,0.057
98.296,0.218
96.194,0.463
93.301,0.77
89.668,1.127
85.355,1.522
80.438,1.945
75,2.384
69.134,2.823
62.941,3.247
56.526,3.638
50,3.978
43.474,4.248
37.059,4.431
33.928,4.484
30.866,4.509
27.886,4.504
25,4.466
22.221,4.397
19.562,4.295
17.033,4.161
14.645,3.994
12.408,3.795
10.332,3.564
8.427,3.305
6.699,3.023
5.156,2.72
3.806,2.395
2.653,2.039
1.704,1.646
0.961,1.214
0.428,0.767
0.107,0.349
0,0
0.107,-0.349
0.428,-0.767
0.961,-1.214
1.704,-1.646
2.653,-2.039
3.806,-2.395
5.156,-2.72
6.699,-3.023
8.427,-3.305
10.332,-3.564
12.408,-3.795
14.645,-3.994
17.033,-4.161
19.562,-4.295
22.221,-4.397
25,-4.466
27.886,-4.504
30.866,-4.509
33.928,-4.484
37.059,-4.431
43.474,-4.248
50,-3.978
56.526,-3.638
62.941,-3.247
69.134,-2.823
75,-2.384
80.438,-1.945
85.355,-1.522
89.668,-1.127
93.301,-0.77
96.194,-0.463
98.296,-0.218
99.572,-0.057
100,0
