Name,NACA 2414
Chord(mm),100
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
100.000000,0.147000
99.739000,0.210000
98.929000,0.396000
97.587000,0.700000
95.729000,1.112000
93.372000,1.620000
90.542000,2.207000
87.267000,2.857000
83.582000,3.552000
79.527000,4.274000
75.143000,5.004000
70.480000,5.723000
65.586000,6.412000
60.515000,7.053000
55.324000,7.629000
50.069000,8.120000
44.808000,8.512000
39.598000,8.787000
34.454000,8.913000
29.482000,8.866000
24.740000,8.645000
20.285000,8.255000
16.169000,7.707000
12.440000,7.014000
9.141000,6.198000
6.310000,5.281000
3.977000,4.289000
2.165000,3.245000
0.892000,2.171000
0.169000,1.085000
0.000000,0.000000
0.379000,-1.031000
1.293000,-1.956000
2.730000,-2.770000
4.669000,-3.471000
7.087000,-4.054000
9.957000,-4.516000
13.246000,-4.858000
16.918000,-5.082000
20.937000,-5.195000
25.260000,-5.208000
29.844000,-5.133000
34.644000,-4.987000
39.611000,-4.787000
44.739000,-4.537000
49.931000,-4.232000
55.129000,-3.886000
60.276000,-3.516000
65.316000,-3.132000
70.194000,-2.745000
74.857000,-2.365000
79.252000,-1.998000
83.331000,-1.650000
87.048000,-1.328000
90.360000,-1.035000
93.230000,-0.776000
95.626000,-0.557000
97.518000,-0.381000
98.886000,-0.252000
99.713000,-0.173000
100.000000,-0.147000
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.169000,0.542500
0.892000,0.310413
2.165000,0.397524
3.977000,0.534088
6.310000,0.707171
9.141000,0.906678
12.440000,1.119905
16.169000,1.335345
20.285000,1.539166
24.740000,1.719282
29.482000,1.863539
34.454000,1.960110
39.598000,1.999738
44.808000,1.989527
50.069000,1.948593
55.324000,1.878509
60.515000,1.777605
65.586000,1.650710
70.480000,1.500653
75.143000,1.331441
79.527000,1.149731
83.582000,0.961872
87.267000,0.774187
90.542000,0.594212
93.372000,0.428490
95.729000,0.282291
97.587000,0.162753
98.929000,0.074054
99.739000,0.019678
100.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
100.000000,0.000000
