Name,NACA6409 9%
Chord(mm),100
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
100.000000,0.000000
99.732000,0.084000
98.930000,0.333000
97.603000,0.737000
95.760000,1.284000
93.423000,1.954000
90.615000,2.724000
87.357000,3.571000
83.690000,4.464000
79.647000,5.378000
75.272000,6.283000
70.608000,7.153000
65.710000,7.961000
60.627000,8.684000
55.413000,9.302000
50.132000,9.796000
44.840000,10.152000
39.590000,10.360000
34.367000,10.352000
29.315000,10.086000
24.502000,9.584000
19.988000,8.874000
15.830000,7.992000
12.080000,6.982000
8.780000,5.889000
5.968000,4.762000
3.677000,3.646000
1.920000,2.581000
0.720000,1.603000
0.080000,0.737000
0.000000,0.000000
0.467000,-0.573000
1.467000,-0.956000
2.973000,-1.157000
4.970000,-1.192000
7.428000,-1.080000
10.317000,-0.844000
13.607000,-0.513000
17.257000,-0.119000
21.235000,0.307000
25.498000,0.729000
30.012000,1.112000
34.730000,1.425000
39.618000,1.639000
44.707000,1.772000
49.868000,1.871000
55.040000,1.925000
60.167000,1.929000
65.193000,1.880000
70.065000,1.780000
74.728000,1.634000
79.130000,1.451000
83.223000,1.241000
86.957000,1.017000
90.288000,0.791000
93.180000,0.576000
95.593000,0.383000
97.503000,0.221000
98.883000,0.101000
99.722000,0.025000
100.000000,0.000000
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.080000,0.368500
0.720000,0.466550
1.920000,0.782270
3.677000,1.238331
5.968000,1.807737
8.780000,2.459722
12.080000,3.157686
15.830000,3.859481
19.988000,4.523730
24.502000,5.107202
29.315000,5.569431
34.367000,5.876459
39.590000,5.998887
44.840000,5.963276
50.132000,5.834878
55.413000,5.613646
60.627000,5.304258
65.710000,4.915194
70.608000,4.457999
75.272000,3.947192
79.647000,3.401237
83.690000,2.838493
87.357000,2.280431
90.615000,1.745345
93.423000,1.255282
95.760000,0.826418
97.603000,0.474652
98.930000,0.214871
99.732000,0.054050
100.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
100.000000,0.000000
