Name,NACA 2.5411
Chord(mm),100
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
100.000000,0.000000
99.730000,0.059000
98.918000,0.235000
97.578000,0.520000
95.720000,0.906000
93.365000,1.380000
90.535000,1.927000
87.260000,2.532000
83.577000,3.175000
79.520000,3.839000
75.138000,4.506000
70.475000,5.158000
65.583000,5.777000
60.513000,6.347000
55.322000,6.852000
50.067000,7.276000
44.807000,7.606000
39.597000,7.830000
34.455000,7.912000
29.485000,7.831000
24.745000,7.588000
20.292000,7.193000
16.175000,6.659000
12.448000,6.006000
9.148000,5.253000
6.317000,4.427000
3.985000,3.553000
2.170000,2.654000
0.897000,1.752000
0.172000,0.862000
0.000000,0.000000
0.375000,-0.794000
1.290000,-1.483000
2.723000,-2.061000
4.662000,-2.531000
7.080000,-2.893000
9.948000,-3.151000
13.238000,-3.310000
16.912000,-3.379000
20.932000,-3.368000
25.255000,-3.291000
29.842000,-3.165000
34.642000,-3.005000
39.612000,-2.830000
44.740000,-2.637000
49.933000,-2.415000
55.132000,-2.174000
60.280000,-1.925000
65.320000,-1.677000
70.198000,-1.436000
74.862000,-1.208000
79.257000,-0.994000
83.337000,-0.798000
87.053000,-0.621000
90.368000,-0.463000
93.238000,-0.326000
95.633000,-0.211000
97.528000,-0.120000
98.895000,-0.054000
99.723000,-0.013000
100.000000,0.000000
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.172000,0.431000
0.897000,0.282466
2.170000,0.408026
3.985000,0.593050
6.317000,0.824115
9.148000,1.086983
12.448000,1.367090
16.175000,1.646921
20.292000,1.911624
24.745000,2.143958
29.485000,2.328097
34.455000,2.450383
39.597000,2.499736
44.807000,2.485932
50.067000,2.433606
55.322000,2.343595
60.513000,2.216733
65.583000,2.056497
70.475000,1.867771
75.138000,1.655719
79.520000,1.428817
83.577000,1.194216
87.260000,0.960433
90.535000,0.735986
93.365000,0.530049
95.720000,0.349589
97.578000,0.201207
98.918000,0.091069
99.730000,0.023164
100.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
100.000000,0.000000
